rank,freq,zipf
849,7,1.76561
850,7,1.76353
851,7,1.76146
852,7,1.75939
853,7,1.75733
854,7,1.75527
855,7,1.75322
856,7,1.75117
857,7,1.74912
858,7,1.74709
859,7,1.74505
860,7,1.74302
861,7,1.741
862,7,1.73898
863,7,1.73696
864,7,1.73495
865,7,1.73295
866,7,1.73095
867,7,1.72895
868,7,1.72696
869,7,1.72497
870,7,1.72299
871,7,1.72101
872,7,1.71904
873,7,1.71707
874,7,1.7151
875,7,1.71314
876,7,1.71119
877,7,1.70924
878,7,1.70729
879,7,1.70535
880,7,1.70341
881,7,1.70148
882,7,1.69955
883,7,1.69762
884,7,1.6957
885,7,1.69379
886,7,1.69187
887,7,1.68997
888,7,1.68806
889,7,1.68616
890,7,1.68427
891,7,1.68238
892,7,1.68049
893,7,1.67861
894,7,1.67673
895,7,1.67486
896,7,1.67299
897,7,1.67113
898,7,1.66927
899,7,1.66741
900,7,1.66556
901,7,1.66371
902,7,1.66186
903,7,1.66002
904,7,1.65819
905,7,1.65635
906,7,1.65453
907,7,1.6527
908,7,1.65088
909,7,1.64906
910,7,1.64725
911,7,1.64544
912,7,1.64364
913,7,1.64184
914,7,1.64004
915,7,1.63825
916,7,1.63646
917,7,1.63468
918,7,1.6329
919,7,1.63112
920,7,1.62935
921,7,1.62758
922,7,1.62581
923,7,1.62405
924,7,1.62229
925,7,1.62054
926,7,1.61879
927,7,1.61704
928,7,1.6153
929,7,1.61356
930,7,1.61183
931,7,1.6101
932,7,1.60837
933,7,1.60665
934,7,1.60493
935,7,1.60321
936,7,1.6015
937,7,1.59979
938,7,1.59808
939,7,1.59638
940,7,1.59468
941,7,1.59299
942,7,1.5913
943,7,1.58961
944,7,1.58792
945,7,1.58624
946,7,1.58457
947,7,1.58289
948,7,1.58122
949,7,1.57956
950,7,1.57789
951,7,1.57624
952,7,1.57458
953,7,1.57293
954,7,1.57128
955,7,1.56963
956,7,1.56799
957,7,1.56635
958,7,1.56472
959,7,1.56309
960,7,1.56146
961,7,1.55983
962,7,1.55821
963,7,1.55659
964,7,1.55498
965,7,1.55337
966,7,1.55176
967,7,1.55016
968,7,1.54855
969,7,1.54696
970,7,1.54536
971,7,1.54377
972,7,1.54218
973,7,1.5406
974,7,1.53901
975,7,1.53744
976,7,1.53586
977,7,1.53429
978,7,1.53272
979,7,1.53115
980,7,1.52959
981,7,1.52803
982,7,1.52648
983,7,1.52492
984,7,1.52337
985,7,1.52183
986,7,1.52028
987,7,1.51874
988,7,1.51721
989,7,1.51567
990,7,1.51414
991,7,1.51261
992,7,1.51109
993,7,1.50957
994,7,1.50805
995,7,1.50653
996,7,1.50502
997,7,1.50351
998,7,1.502
999,7,1.5005
1000,7,1.499
1001,7,1.4975
1002,7,1.49601
1003,7,1.49452
1004,7,1.49303
1005,7,1.49154
1006,7,1.49006
1007,7,1.48858
1008,7,1.4871
1009,7,1.48563
1010,7,1.48416
