rank,freq,zipf
1077,1000,198.796
1078,1000,198.611
1079,1000,198.427
1080,1000,198.244
1081,1000,198.06
1082,1000,197.877
1083,1000,197.694
1084,1000,197.512
1085,1000,197.33
1086,1000,197.148
1087,1000,196.967
1088,1000,196.786
1089,1000,196.605
1090,1000,196.425
1091,1000,196.245
1092,1000,196.065
1093,1000,195.886
1094,1000,195.707
1095,1000,195.528
1096,1000,195.349
1097,1000,195.171
1098,1000,194.994
1099,1000,194.816
1100,1000,194.639
1101,1000,194.462
1102,1000,194.286
1103,1000,194.11
1104,1000,193.934
1105,1000,193.758
1106,1000,193.583
1107,1000,193.408
1108,1000,193.234
1109,1000,193.06
1110,1000,192.886
1111,1000,192.712
1112,1000,192.539
1113,1000,192.366
1114,1000,192.193
1115,1000,192.021
1116,1000,191.849
1117,1000,191.677
1118,1000,191.505
1119,1000,191.334
1120,1000,191.163
1121,1000,190.993
1122,1000,190.823
1123,1000,190.653
1124,1000,190.483
1125,1000,190.314
1126,1000,190.145
1127,1000,189.976
1128,1000,189.808
1129,1000,189.64
1130,1000,189.472
1131,1000,189.304
1132,1000,189.137
1133,1000,188.97
1134,1000,188.803
1135,1000,188.637
1136,1000,188.471
1137,1000,188.305
1138,1000,188.14
1139,1000,187.975
1140,1000,187.81
1141,1000,187.645
1142,1000,187.481
1143,1000,187.317
1144,1000,187.153
1145,1000,186.99
1146,1000,186.826
1147,1000,186.663
1148,1000,186.501
1149,1000,186.339
1150,1000,186.177
1151,1000,186.015
1152,1000,185.853
1153,1000,185.692
1154,1000,185.531
1155,1000,185.371
1156,1000,185.21
1157,1000,185.05
1158,1000,184.89
1159,1000,184.731
1160,1000,184.572
1161,1000,184.413
1162,1000,184.254
1163,1000,184.095
1164,1000,183.937
1165,1000,183.779
1166,1000,183.622
1167,1000,183.464
1168,1000,183.307
1169,1000,183.151
1170,1000,182.994
1171,1000,182.838
1172,1000,182.682
1173,1000,182.526
1174,1000,182.371
1175,1000,182.215
1176,1000,182.06
1177,1000,181.906
1178,1000,181.751
1179,1000,181.597
1180,1000,181.443
1181,1000,181.29
1182,1000,181.136
1183,1000,180.983
1184,1000,180.83
1185,1000,180.678
1186,1000,180.525
1187,1000,180.373
1188,1000,180.221
1189,1000,180.07
1190,1000,179.918
1191,1000,179.767
1192,1000,179.617
1193,1000,179.466
1194,1000,179.316
1195,1000,179.166
1196,1000,179.016
1197,1000,178.866
1198,1000,178.717
1199,1000,178.568
1200,1000,178.419
1201,1000,178.271
1202,1000,178.122
1203,1000,177.974
1204,1000,177.826
1205,1000,177.679
1206,1000,177.532
1207,1000,177.384
1208,1000,177.238
1209,1000,177.091
1210,1000,176.945
1211,1000,176.799
1212,1000,176.653
1213,1000,176.507
1214,1000,176.362
1215,1000,176.216
1216,1000,176.072
1217,1000,175.927
1218,1000,175.782
1219,1000,175.638
1220,1000,175.494
1221,1000,175.351
1222,1000,175.207
1223,1000,175.064
1224,1000,174.921
1225,1000,174.778
1226,1000,174.635
1227,1000,174.493
1228,1000,174.351
1229,1000,174.209
1230,1000,174.067
1231,1000,173.926
1232,1000,173.785
1233,1000,173.644
1234,1000,173.503
1235,1000,173.363
1236,1000,173.222
1237,1000,173.082
1238,1000,172.943
1239,1000,172.803
1240,1000,172.664
